44,746706;37,762959
44,748265;37,764965
44,749550;37,766360
44,750620;37,767701
44,750896;37,767370
44,751030;37,767504
44,751305;37,767558
44,751821;37,767424
44,752054;37,767461
44,752402;37,767660
44,752639;37,767617
44,752590;37,768427
44,752261;37,768663
44,752536;37,768915
44,752651;37,769060
44,752899;37,769221
44,753033;37,769500
44,753415;37,769698
44,753308;37,769940
44,753725;37,770691
44,753943;37,771179
44,753641;37,771951
44,753350;37,771871
44,753113;37,772080
44,753144;37,772466
44,753266;37,772831
44,753583;37,773582
44,753388;37,776120
44,753220;37,781092
44,752613;37,782096
44,752418;37,781886
44,751752;37,783142
44,750644;37,785003
44,749971;37,786902
44,749658;37,787954
44,749635;37,790244
44,749352;37,790872
44,749444;37,790968
44,749172;37,791612
44,749065;37,791596
44,748771;37,791698
44,748427;37,791816
44,748182;37,791805
44,747127;37,791387
44,747024;37,791430
44,746947;37,791870
44,746982;37,792116
44,747115;37,792401
44,747288;37,792604
44,746955;37,793618
44,746867;37,793667
44,745972;37,793634
44,745617;37,793763
44,745540;37,793962
44,745525;37,795737
44,745728;37,798774
44,746106;37,800453
44,746014;37,800903
44,745874;37,801720
44,745644;37,801801
44,745511;37,801710
44,745377;37,801699
44,745293;37,801484
44,744719;37,801661
44,744662;37,801586
44,743526;37,801350
44,743171;37,801248
44,741902;37,800583
44,741037;37,799998
44,740131;37,799204
44,738113;37,797938
44,736927;37,796951
44,736736;37,796876
44,752604;37,768001;Первый мост;Это первый мост на Мефодиевке
44,752776;37,781806;Второй мост;Это второй мост в районе улицы Кирова
44,749285;37,791336;Третий мост;Это третий мост в районе улицы Сакко и Ванцетти
44,745924;37,801431;Четвёртый мост;Это четвёртый мост в районе улицы Гольмана на Балке
